,65nm,45nm,40nm,28nm,20nm,16nm,14nm,10nm,8nm,7nm,7nm_EUV,5nm,3nm,2nm,14a,10a
65nm,1.0,0.6470588235,0.55,0.44000000000000006,0.33000000000000007,0.19800000000000004,0.19800000000000004,0.15840000000000004,0.08910000000000001,0.08910000000000001,0.07573500000000001,0.062370000000000016,0.04365900000000001,0.027941760000000006,0.020956320000000007,0.016765056000000007
45nm,1.5454545455247934,1.0,0.85,0.6799999999999999,0.51,0.306,0.306,0.2448,0.1377,0.1377,0.11704499999999998,0.09638999999999999,0.06747299999999999,0.043182719999999994,0.03238704,0.025909632
40nm,1.8181818181818181,1.1764705882352942,1.0,0.8,0.6000000000000001,0.36000000000000004,0.36000000000000004,0.28800000000000003,0.162,0.162,0.1377,0.1134,0.07937999999999999,0.05080319999999999,0.038102399999999995,0.030481919999999996
28nm,2.2727272727272725,1.4705882352941178,1.25,1.0,0.75,0.44999999999999996,0.44999999999999996,0.36,0.20249999999999999,0.20249999999999999,0.17212499999999997,0.14175,0.099225,0.06350399999999999,0.047628,0.038102399999999995
20nm,3.03030303030303,1.9607843137254903,1.6666666666666667,1.3333333333333333,1.0,0.6,0.6,0.48,0.26999999999999996,0.26999999999999996,0.22949999999999995,0.18899999999999997,0.13229999999999997,0.08467199999999998,0.06350399999999999,0.05080319999999999
16nm,5.05050505050505,3.2679738562091507,2.777777777777778,2.2222222222222223,1.6666666666666667,1.0,1.0,0.8,0.45,0.45,0.3825,0.31500000000000006,0.22050000000000003,0.14112000000000002,0.10584000000000002,0.08467200000000001
14nm,5.05050505050505,3.2679738562091507,2.777777777777778,2.2222222222222223,1.6666666666666667,1.0,1.0,0.8,0.45,0.45,0.3825,0.31500000000000006,0.22050000000000003,0.14112000000000002,0.10584000000000002,0.08467200000000001
10nm,6.313131313131313,4.0849673202614385,3.4722222222222228,2.777777777777778,2.0833333333333335,1.25,1.25,1.0,0.5625,0.6,0.51,0.42000000000000004,0.29400000000000004,0.18816000000000002,0.14112000000000002,0.11289600000000002
8nm,11.22334455667789,7.262164124909225,6.17283950617284,4.938271604938272,3.703703703703704,2.2222222222222223,2.2222222222222223,1.777777777777778,1.0,1.0,0.85,0.7,0.48999999999999994,0.31359999999999993,0.23519999999999996,0.18815999999999997
7nm,11.22334455667789,7.262164124909225,6.17283950617284,4.938271604938272,3.703703703703704,2.2222222222222223,2.2222222222222223,1.6666666666666667,1.0,1.0,0.85,0.7,0.48999999999999994,0.31359999999999993,0.23519999999999996,0.18815999999999997
7nm_EUV,13.203934772562224,8.543722499893205,7.262164124909224,5.809731299927379,4.357298474945535,2.6143790849673207,2.6143790849673207,2.0915032679738568,1.1764705882352944,1.1764705882352942,1.0,0.8235294117647058,0.5764705882352941,0.3689411764705882,0.2767058823529412,0.22136470588235296
5nm,16.0333493666827,10.374520178441747,8.818342151675484,7.054673721340388,5.291005291005291,3.1746031746031744,3.1746031746031744,2.5396825396825395,1.4285714285714286,1.4285714285714286,1.2142857142857142,1.0,0.7,0.44799999999999995,0.33599999999999997,0.2688
3nm,22.904784809546715,14.820743112059638,12.597631645250692,10.078105316200553,7.5585789871504145,4.5351473922902485,4.5351473922902485,3.628117913832199,2.0408163265306123,2.0408163265306123,1.7346938775510203,1.4285714285714286,1.0,0.64,0.48000000000000004,0.384
2nm,35.78872626491674,23.157411112593184,19.683799445704206,15.747039556563365,11.810279667422524,7.086167800453514,7.086167800453514,5.668934240362811,3.188775510204082,3.188775510204082,2.7104591836734695,2.232142857142857,1.5625,1.0,0.75,0.6
14a,47.71830168655565,30.876548150124243,26.245065927605605,20.996052742084483,15.747039556563363,9.448223733938018,9.448223733938018,7.5585789871504145,4.2517006802721085,4.2517006802721085,3.613945578231292,2.976190476190476,2.083333333333333,1.3333333333333333,1.0,0.8
10a,59.647877108194564,38.595685187655306,32.80633240950701,26.245065927605605,19.683799445704206,11.810279667422524,11.810279667422524,9.448223733938018,5.314625850340136,5.314625850340136,4.517431972789115,3.7202380952380953,2.6041666666666665,1.6666666666666665,1.25,1.0
