Iso-Performance Technology Scaling Factors based on Public Sources,,,,,,,,,,,,,,,,,
,,Destination Tech Node,,,,,,,,,,,,,,,
Source Tech Node,,65nm,45nm,40nm,28nm,20nm,16nm,14nm,10nm,8nm,7nm,7nm_EUV,5nm,3nm,2nm,14a,10
,65nm,1,0.6470588235,0.55,,,,,,,,,,,,,
,45nm,,1,0.85,,,,,,,,,,,,,
,40nm,,,1,0.8,,,,,,,,,,,,
,28nm,,,,1,0.75,,,,,,,,,,,
,20nm,,,,,1,0.6,,,,,,,,,,
,16nm,,,,,,1,1,0.8,,0.45,,,,,,
,14nm,,,,,,,1,,,,,,,,,
,10nm,,,,,,,,1,,0.6,,,,,,
,8nm,,,,,,,,,1,1,,,,,,
,7nm,,,,,,,,,,1,0.85,0.7,,,,
,7nm_EUV,,,,,,,,,,,1,,,,,
,5nm,,,,,,,,,,,,1,0.7,,,
,3nm,,,,,,,,,,,,,1,0.64,,
,2nm,,,,,,,,,,,,,,1,0.75,
,14a,,,,,,,,,,,,,,,1,0.8
,10a,,,,,,,,,,,,,,,,1
